candidate_id,name,firm,source_count,source_types,source_urls,reasons
c011,Nancy Giacolone,Olympic Crest Insurance,3,benefitspro_ebn; health_rosetta_directory; validation_institute,https://www.benefitspro.com/2023/06/10/2023-broker-of-the-year-nancy-giacolone/ | https://directory.healthrosetta.org/directory/nancy_giacolone | https://validationinstitute.com/certified-professionals/,Founder/President of Olympic Crest Insurance (boutique benefits agency); 2023 BenefitsPRO Broker of the Year | Listed as Health Rosetta certified advisor at Olympic Crest Insurance | Certified Health Value Advisor (CHVA); independent EB brokerage owner/principal.
c012,Donovan Ryckis,Ethos Benefits,3,linkedin_keyword_search; shift_shapers; validation_institute,https://www.youtube.com/watch?v=_MhfiDNESmk | https://ethosbenefits.flywheelsites.com/ | https://validationinstitute.com/fiduciary/,"Ep #487 ""Fiduciary Responsibility in Healthcare"" — founder/CEO of Ethos Benefits, an independent fiduciary-driven EB advisory for US employers | Co-founder of fee-based fiduciary EB agency, one of first fee-based health insurance advisors in US; surfaced via 'Ethos Benefits founder' search | Owner/principal of independent EB brokerage Ethos Benefits; listed on Validation Institute Fiduciary Validated directory."
c013,Niko Caparisos,Prosperity Benefits,3,fmma_directory; health_rosetta_directory; validation_institute,https://fmma.org/membership/chapters/ | https://directory.healthrosetta.org/directory/niko_caparisos | https://validationinstitute.com/fiduciary/,"FMMA Georgia chapter leader and principal/founder of Prosperity Benefits, an independent EB advisory firm serving small-to-mid employers | Listed as Health Rosetta certified advisor at Prosperity Benefits | Founder/principal of independent retail EB brokerage Prosperity Benefits; Validation Institute fiduciary-validated advisor."
c014,Kareim Cade,Great Lakes Benefit Group,2,benefitspro_ebn; self_funded_with_spencer,https://www.benefitspro.com/2019/03/25/2019-broker-of-the-year-finalist-kareim-cade/ | https://www.selffundedwithspencer.com/the-black-white-truth-of-benefits-leadership-kareim-cade-andy-neary/,"Founder/President of Great Lakes Benefit Group (Southfield MI); 2019 BenefitsPRO Broker of the Year finalist | 2023 ep on benefits leadership — founder/president of Great Lakes Benefit Group (Royal Oak, MI), an independent EB brokerage serving K-12, public/private, and union groups; BenefitsPRO 2019 Broker of the Year finalist"
c015,Rachel Hawkins,Angler Insurance,2,benefitspro_ebn; health_rosetta_directory,https://www.benefitspro.com/2025/04/08/2025-advisor-of-the-year-finalist-rachel-hawkins/ | https://directory.healthrosetta.org/directory/rachel_hawkins,Founder of Angler Insurance (Shelton WA); 2025 BenefitsPRO Advisor of the Year finalist; medical captive and alternative funding advocate | Listed as Health Rosetta certified advisor at Angler Insurance
c016,Alex Dampf,Oakmont Benefits Group,2,benefitspro_ebn; health_rosetta_directory,https://www.benefitspro.com/2026/03/30/2026-advisor-of-the-year-finalist-alex-dampf/ | https://directory.healthrosetta.org/directory/alex_dampf,"Founder/President of Oakmont Benefits Group (Nashville TN); 2026 BenefitsPRO Advisor of the Year finalist; built firm on transparency principles, Health Rosetta charter member | Listed as Health Rosetta certified advisor at Oakmont Benefits"
c017,Carl Schuessler Jr,Mitigate Partners,2,fmma_conference; shift_shapers,https://www.shiftshapersonline.com/2045524/episodes/18806371-ep-541-when-cfos-treat-healthcare-as-any-other-cost-with-carl-schuessler-jr | https://fmma.org/presentation-videos/,"EP 541 — co-founder and managing principal of Mitigate Partners, an independent consortium of EB consulting/brokerage firms focused on fiduciary, transparency and employer-built health plans | FMMA presenter on employer-built healthcare; Co-Founder & Managing Principal of Mitigate Partners (national alliance of 33 independent EB consulting/brokerage firms); pioneered fiduciary approach to benefits advisory"
c018,Bryan Perry,Peak Benefits,2,fmma_directory; health_rosetta_live,https://fmma.org/membership/chapters/ | https://healthrosetta.org/rosies/denver-2023/,"FMMA Colorado chapter leader/spokesperson and owner of Peak Benefits, an independent EB brokerage building transparent self-funded plans | Recognized advisor at 2023, 2025 Rosies (Live events) for Bennett School District and others; Owner of Peak Benefits (Littleton CO), independent fiduciary EB brokerage; founding member of CO chapter of Health Rosetta"
c019,Matt Bittner,The Volition Group,2,health_rosetta_directory; validation_institute,https://directory.healthrosetta.org/directory/matt_bittner | https://validationinstitute.com/fiduciary/,Listed as Health Rosetta certified advisor at The Volition Group | Founder of fee-only independent EB consultancy The Volition Group; Validation Institute fiduciary-validated advisor recognized for ERISA fiduciary standards.
c020,Jonathan Bushman,Primed Healthcare LLC,2,health_rosetta_directory; health_rosetta_live,https://directory.healthrosetta.org/directory/jonathan_bushman | https://healthrosetta.org/rosies/denver-2025/,"Listed as Health Rosetta certified advisor at Primed Healthcare LLC | Recognized advisor at 2025 Rosies (Live event) for Parrish Enterprises; Founder of Primed Healthcare LLC, physician-led independent benefits advisory firm in OK"
c021,Paul Dannegger,HR & Benefit Solutions,2,health_rosetta_directory; health_rosetta_live,https://directory.healthrosetta.org/directory/paul_dannegger | https://healthrosetta.org/rosies/dc-2024/,"Listed as Health Rosetta certified advisor at HR & Benefit Solutions | Recognized advisor at 2024 Rosies (Live event) for AB Spectrum and Jung Truck Service; Founder of HR & Benefit Solutions (Ballwin MO), independent fiduciary EB brokerage"
c022,David Johnson,Commercial Insurance Associates,2,health_rosetta_directory; linkedin_keyword_search,https://directory.healthrosetta.org/directory/david_johnson | https://www.linkedin.com/in/davidjohnsonhealthrosetta/,Listed as Health Rosetta certified advisor at Commercial Insurance Associates | Health Rosetta Certified Advisor at independent EB firm; surfaced via 'health rosetta advisor founder' search
c023,Christina King,C&A Benefits Group,2,health_rosetta_directory; health_rosetta_live,https://directory.healthrosetta.org/directory/christina_king | https://healthrosetta.org/rosies/dc-2024/,"Listed as Health Rosetta certified advisor at C&A Benefits Group | Recognized advisor at 2024 Rosies (Live event) for Children's Hunger Alliance, City of Bellefontaine; Owner/Founder of C&A Benefits Group (Dublin OH), independent fiduciary EB consulting firm she founded in 2009"
c024,Cara Kirsch,The Kirsch Group,2,health_rosetta_directory; self_funded_with_spencer,https://directory.healthrosetta.org/directory/cara_kirsch | https://www.selffundedwithspencer.com/the-secret-to-a-perfect-broker-partner-relationship/,"Listed as Health Rosetta certified advisor at The Kirsch Group (eponymous firm) | Ep ""The Secret to a Perfect Broker-Partner Relationship"" (Nov 2025) — CEO and founder of The Kirsch Group (Omaha, NE), an independent employee benefits brokerage with 30 years of industry experience"
c025,Michael Lank,The Lank Group,2,health_rosetta_directory; health_rosetta_live,https://directory.healthrosetta.org/directory/michael_lank | https://healthrosetta.org/rosies/dc-2024/,"Listed as Health Rosetta certified advisor at The Lank Group (eponymous firm) | Recognized advisor at 2024, 2025 Rosies (Live events) for CAPE Environmental Management; Founder and President of The Lank Group (Kennesaw GA), independent fiduciary EB brokerage"
c026,Drew Leatherberry,Avergent,2,health_rosetta_directory; health_rosetta_live,https://directory.healthrosetta.org/directory/drew_leatherberry | https://healthrosetta.org/rosies/denver-2023/,"Listed as Health Rosetta certified advisor at Avergent | Recognized advisor at multiple Rosie Awards (2023 Live event, 2024 DC event) for multiple WI employers; Founder and President of Avergent, independent fiduciary EB advisory firm in Wisconsin"
c027,Griffin Meredith,Commonwealth Insurance Partners,2,health_rosetta_directory; health_rosetta_live,https://directory.healthrosetta.org/directory/griffin_meredith | https://healthrosetta.org/rosies/denver-2023/,"Listed as Health Rosetta certified advisor at Commonwealth Insurance Partners | Recognized advisor at 2023, 2024 Rosies (Live events) for Lincoln National Bank and JD Bank; Founder/President of Commonwealth Insurance Partners, independent KY-based EB brokerage he grew to $40M+ in annual premiums"
c028,Diana Miller,Conner Insurance,2,health_rosetta_directory; linkedin_keyword_search,https://directory.healthrosetta.org/directory/diana_miller | https://www.linkedin.com/in/dianapena09/,Listed as Health Rosetta certified advisor at Conner Insurance | Health Rosetta Advisor at independent EB firm; surfaced via 'health rosetta advisor' search
c029,Brian Reilly,Centric Benefits Consulting,2,health_rosetta_directory; linkedin_keyword_search,https://directory.healthrosetta.org/directory/brian_reilly | https://www.centricbenefits.com/profile/brian_reilly,Listed as Health Rosetta certified advisor at Centric Benefits Consulting | Independent benefits consultant at Centric Benefits Consulting; surfaced via 'benefits broker founder fiduciary' search
c030,Michael Smith,Butler Benefits & Consulting,2,health_rosetta_directory; linkedin_keyword_search,https://directory.healthrosetta.org/directory/michael_smith | https://www.linkedin.com/in/michael-g-smith-mha-health-rosetta-advisor-2811576/,Listed as Health Rosetta certified advisor at Butler Benefits & Consulting | Health Rosetta Advisor at independent EB firm; surfaced via 'health rosetta advisor founder' search
c031,Jason Swindle,TIG Advisors,2,health_rosetta_directory; linkedin_keyword_search,https://directory.healthrosetta.org/directory/jason_swindle | https://www.linkedin.com/in/jasonswindle707/,"Listed as Health Rosetta certified advisor at TIG Advisors | CEO/owner of independent EB agency, Health Rosetta Advisor; surfaced via 'health rosetta advisor founder' search"
c032,Carl C. Schuessler Jr.,Mitigate Partners,2,health_rosetta_live; linkedin_keyword_search,https://healthrosetta.org/rosies/denver-2023/ | https://www.linkedin.com/in/ccsjr1/,"Recognized advisor at 2023 Rosies (Live event); Co-Founder and Managing Principal of Mitigate Partners, an independent partnership of 29 fiduciary EB consulting firms; founding Health Rosetta Charter Certified Advisor | Founder/Managing Principal of fiduciary EB consulting firm; surfaced via 'Mitigate Partners founder employee benefits fiduciary' search"
c033,Louis Bernardi,BritePath (Group Planners Inc),2,health_rosetta_live; linkedin_keyword_search,https://healthrosetta.org/rosies/denver-2023/ | https://www.linkedin.com/in/lougpi2/,"Recognized advisor at 2023 Rosies (Live event) for Oradell Animal Hospital; Co-Founder and Benefit Optimization Officer of BritePath (Woodbury NY), independent EB brokerage; host of Benefits with Friends podcast | CEO/Founder, Health Rosetta Advisor; surfaced via 'BritePath founder benefits broker fiduciary' search"
c034,Donovan Pyle,Health Compass Consulting,2,linkedin_keyword_search; validation_institute,https://healthcompassconsulting.com/ | https://validationinstitute.com/fiduciary/,Founder of fiduciary fee-based EB consulting firm; surfaced via 'fee-based employee benefits advisor fiduciary broker' search | Founder/CEO of independent fiduciary EB consultancy Health Compass Consulting; Validation Institute fiduciary-validated and 2025 Benefits Advisor of the Year.
c035,Eric Silverman,Voluntary Disruption / Silverman Benefits Group,2,linkedin_keyword_search; self_funded_with_spencer,https://www.linkedin.com/in/silvermaneric/ | https://www.selffundedwithspencer.com/enhanced-benefits-and-communication-eric-silverman-voluntary-disruption/,"Founder/owner of boutique EB consulting firm; surfaced via 'independent benefits advisor founder disruption' search | Ep ""Enhanced Benefits and Communication"" (July 2023) — founder/owner of Baltimore-based Silverman Benefits Group (SBG) / Voluntary Disruption, an independent carrier-neutral benefits boutique; 2017 EBA Voluntary Adviser of the Year"
c036,Chris Wolpert,Group Benefit Solutions,1,benefitspro_ebn,https://www.benefitspro.com/2024/04/03/2024-advisor-of-the-year-finalist-chris-wolpert/,Founder/owner of Group Benefit Solutions (Tacoma WA); 2024 BenefitsPRO Advisor of the Year finalist; advocates broker transparency and aligned-incentive healthcare
c037,Lindsay Clarke Youngwerth,Keenly,1,benefitspro_ebn,https://www.benefitspro.com/2024/04/02/2024-advisor-of-the-year-finalist-lindsay-clarke-youngwerth/,Founder of Keenly (Boise ID); 2024 BenefitsPRO Advisor of the Year finalist; advocate for healthcare transparency
c038,Susan L. Combs,Combs & Company,1,benefitspro_ebn,https://www.benefitspro.com/2017/04/12/meet-this-years-broker-of-the-year-susan-l-combs/,Founder/President of Combs & Company (NYC independent brokerage); BenefitsPRO Broker of the Year
c039,Kim Eckelbarger,Tropical Benefits,1,benefitspro_ebn,https://www.benefitspro.com/2022/04/19/2022-broker-of-the-year-finalist-kim-eckelbarger/,Founder/President of Tropical Benefits (Tampa FL); 2022 BenefitsPRO Broker of the Year finalist; NextGen Benefits Adviser of the Year 2019
c040,Al Schiebel,ShopBenefits,1,benefitspro_ebn,https://www.benefitspro.com/2026/04/03/2026-advisor-of-the-year-finalist-al-schiebel/,Owner/CEO of ShopBenefits (Atlanta GA); 2026 BenefitsPRO Advisor of the Year finalist
c041,Nelson Griswold,NextGen Benefits Mastermind Partnership,1,benefitspro_ebn,https://www.benefitnews.com/advisers/opinion/what-compensation-disclosure-means-for-benefit-advisers,Founder of NextGen Benefits Mastermind Partnership and ASCEND Summit; EBN opinion author 'What compensation disclosure means for benefit advisers' advocating broker compensation transparency
c042,David Contorno,ePower Benefits,1,shift_shapers,https://www.shiftshapersonline.com/2045524/episodes/17232879-514-health-plan-design-smart-solutions-shifting-structures-with-david-contorno-part-1,"#514 — president and founder of ePowerBenefits, independent benefits advisory firm focused on reference-based pricing, direct contracting and self-funded plan design"
c043,Eric Silverman,Silverman Benefits Group / Voluntary Disruption,1,shift_shapers,https://www.shiftshapersonline.com/2045524/episodes/18132957-ep-537-enhanced-benefits-evolution-with-eric-silverman-voluntary-disruption,"EP 537 — founder/owner of Silverman Benefits Group (dba Voluntary Disruption), independent US voluntary/enhanced benefits advisory firm; 4-time ShiftShapers guest"
c044,Tom DiLiegro,Benefit Advisors of Charleston,1,fmma_conference,https://shophealth.fmma.org/members/1021,FMMA Charleston chapter co-leader and speaker; principal owner of Benefit Advisors of Charleston (SC); independent EB brokerage; Health Rosetta advisor; BenefitsPRO Broker of the Year finalist
c045,Rich Hess,The Plexus Groupe,1,fmma_conference,https://fmma.org/annual-conference/past-conferences/,"FMMA 2025 Annual Conference speaker; Vice President at The Plexus Groupe (independent, founder-owned brokerage based in OKC/Chicago specializing in EB consulting)"
c046,Nelson Griswold,NextGen Benefits,1,siia_conference,https://s6.goeshow.com/siia/sforum/2023/documents/Nelson_Griswold.pdf,"SIIA Spring Forum 2023 speaker (Managing Director NextGen Benefits per SIIA-hosted speaker PDF); Founder & Chairman of NextGen Benefits Network, a national alliance of independent fiduciary EB advisory firms"
c047,Christine Cooper,aequum LLC,1,siia_conference,https://siiaconferences.org/nationalconference/2025/Sessions.cfm,SIIA Innov8 National Conference 2025 speaker on 'Lawsuits Alleging Fiduciary Breaches'; CEO & co-founder of aequum LLC; co-chair of SIIA Price Transparency Committee; independent fiduciary-focused advisory firm
c048,Chris Burns,CRB Consulting Group,1,siia_conference,https://www.siia.org/i4a/pages/index.cfm?pageID=7992,SIIA 2026 International Conference speaker; President of CRB Consulting Group (independent EB consulting firm); 40+ years brokerage experience
c049,Jaqueline Oliveira-Cella,WellBe Consulting,1,siia_conference,https://www.siia.org/i4a/pages/index.cfm?pageID=7992,SIIA 2026 International Conference speaker; Founder of WellBe Consulting (independent benefits/wellbeing consulting firm)
c050,Chris Deacon,VerSan Consulting,1,fmma_conference,https://fmma.org/annual-conference/past-conferences/,FMMA 2024 Annual Conference speaker; Founder/Principal of VerSan Consulting LLC; ERISA-fiduciary focused independent EB consulting firm; congressional witness on employer fiduciary duty
c051,Thomas DiLiegro,Benefit Advisors of Charleston,1,fmma_directory,https://fmma.org/membership/chapters/,"FMMA Charleston chapter leader and principal owner of Benefit Advisors of Charleston, an independent EB brokerage focused on transparent self-funded plans"
c052,Tom Yakopin,West Penn Life & Health,1,fmma_directory,https://fmma.org/membership/chapters/,"FMMA Pennsylvania chapter leader and owner/managing general agent of West Penn Life & Health, an independent health and EB agency"
c053,Kalli Ortega,MelEos Group,1,fmma_directory,https://fmma.org/membership/chapters/,"FMMA Illinois chapter leader and founder/CEO of MelEos Group, an independent health benefits advisory public benefit corporation"
c054,Stephen Daniel,Mitigate Partners,1,fmma_directory,https://fmma.org/membership/chapters/,FMMA Las Vegas chapter co-leader and Partner at Mitigate Partners (national alliance of independent EB advisors); also at Insurance Office of America EB team
c055,Liz Antaya,Evergreen Benefits Group,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/liz_antaya,Listed as Health Rosetta certified advisor at Evergreen Benefits Group
c056,Heidi Aubertin,Lacher & Associates,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/heidi_aubertin,Listed as Health Rosetta certified advisor at Lacher & Associates
c057,Nikki Baker,Diversified Insurance Industries,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/nicole_baker,Listed as Health Rosetta certified advisor at Diversified Insurance Industries
c058,Kurstin Bartholomew,Gibson,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/kirsten_bartholomew,Listed as Health Rosetta certified advisor at Gibson
c059,Benjie Bates,Bates Hewett & Floyd,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/benjie_bates,Listed as Health Rosetta certified advisor at Bates Hewett & Floyd
c060,Jake Bean,North Star Benefits LLC,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/jacob_bean,Listed as Health Rosetta certified advisor at North Star Benefits LLC
c061,Michael Bechtol,Bravo Health Partners,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/michael_bechtol,Listed as Health Rosetta certified advisor at Bravo Health Partners
c062,Will Belletto,"WaFd Insurance Group, Inc.",1,health_rosetta_directory,https://directory.healthrosetta.org/directory/will_belletto,"Listed as Health Rosetta certified advisor at WaFd Insurance Group, Inc."
c063,Brittney Bello,"Verus Insurance Services, LLC",1,health_rosetta_directory,https://directory.healthrosetta.org/directory/brittney_bello,"Listed as Health Rosetta certified advisor at Verus Insurance Services, LLC"
c064,Brian Bellware,Gibson,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/brian_bellware,Listed as Health Rosetta certified advisor at Gibson
c065,Christian Bergstrom,W3 Insurance,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/christian_bergstrom,Listed as Health Rosetta certified advisor at W3 Insurance
c066,Louis Bernardi,Group Planners Insurance Solutions DBA BritePath,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/louis_bernardi,Listed as Health Rosetta certified advisor at BritePath (Group Planners Insurance Solutions)
c067,Joey Bickley,Bickley Insurance,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/joey_bickley,Listed as Health Rosetta certified advisor at Bickley Insurance (apparent eponymous owner)
c068,Ben Bohonowicz,"Riggs, Counselman, Michaels & Downes, Inc.",1,health_rosetta_directory,https://directory.healthrosetta.org/directory/ben_bohonowicz,"Listed as Health Rosetta certified advisor at Riggs, Counselman, Michaels & Downes"
c069,Jerry Bonenberger,Clear Consulting Group,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/jerry_bonenberger,Listed as Health Rosetta certified advisor at Clear Consulting Group
c070,Tanya Boyd,Tanya Boyd & Associates,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/tanya_boyd,Listed as Health Rosetta certified advisor at Tanya Boyd & Associates (eponymous firm)
c071,Victoria Braden,Braden Benefits,1,health_rosetta_directory,https://directory.healthrosetta.org/directory/victoria_braden,Listed as Health Rosetta certified advisor at Braden Benefits (eponymous firm)
