name,firm,source_url,source_type,reason
Jude Odu,Health Cost IQ,https://www.linkedin.com/in/judeodu,linkedin_keyword_search,"Independent advisor publishing on transparency/fiduciary for self-insured employers; surfaced via 'benefits broker founder transparency' search"
Talia Hansen,Ethos Benefits,https://www.linkedin.com/in/talia-hansen-a617b6262/,linkedin_keyword_search,"Fiduciary-first benefits consultant at fee-only firm; surfaced via 'benefits advisor of the year self-funded' search"
Alex Dampf,Pancoast Benefits,https://www.benefitspro.com/2026/03/30/2026-advisor-of-the-year-finalist-alex-dampf/,linkedin_keyword_search,"Health Rosetta certified advisor, 2026 Advisor of the Year finalist at independent EB agency; surfaced via 'independent benefits advisor founder' search"
Bryce Heinbaugh,IEN Risk Management Consultants,https://www.linkedin.com/in/bryce-heinbaugh-mba-healthcare-trailblazer-2216368/,linkedin_keyword_search,"Founder/CEO/Managing Partner of independent EB consulting firm, Health Rosetta Practitioner, 2023 BenefitsPRO Broker of the Year finalist"
Braden Monaco,Blue Horizon Benefits,https://www.linkedin.com/in/braden-monaco-8980408/,linkedin_keyword_search,"Co-founder/Managing Partner of independent EB consulting firm; BenefitsPro Broker of the Year finalist"
Mike Hill,Total Control Health Plans (TCHP),https://totalcontrolhealthplans.com/news/tchp-founder-mike-hill-selected-as-finalist-for-benefits-pro-magazine-broker-of-the-year-2021/,linkedin_keyword_search,"Founder of TCHP, nationally-recognized self-funded EB adviser; BenefitsPRO Broker of the Year 2021 finalist"
Josh Butler,Butler Benefits & Consulting,https://www.linkedin.com/in/josh-butler-benefits/,linkedin_keyword_search,"Founder/President of independent EB consulting/brokerage firm, Health Rosetta certified; surfaced via 'Butler Benefits founder' search"
Ben Conner,Conner Insurance,https://healthrosetta.org/people/benconner/,linkedin_keyword_search,"Owner/principal of independent EB agency, Health Rosetta certified; surfaced via 'Conner Insurance founder' search"
Sally Pace,Connect Healthcare Collaboration,https://www.linkedin.com/in/sally-pace-7ab4656/,linkedin_keyword_search,"CEO of EB marketing/advocacy firm supporting independent advisors; surfaced via 'benefits broker founder' search"
Jamie Greenleaf,Fiduciary In A Box,https://www.linkedin.com/in/jamie-greenleaf-aif-cbfa-c-k-p-4029365a/,linkedin_keyword_search,"Co-founder of Fiduciary In A Box, ERISA fiduciary advocate for employer health plans; surfaced via 'benefits broker fiduciary founder' search"
Patrick Williams,Fiduciary In A Box,https://www.linkedin.com/in/corporatefiduciary/,linkedin_keyword_search,"ERISA fiduciary advisor focused on employee benefits; surfaced via 'founder employee benefits fiduciary' search"
Jennifer Borislow,Borislow Insurance,https://www.linkedin.com/in/jenniferborislow/,linkedin_keyword_search,"Founder/CEO of independent EB agency serving New England and beyond; surfaced via 'Borislow Insurance founder' search"
Terriann Procida,Innovative Benefit Planning LLC,https://www.linkedin.com/in/terriann-procida-7b7a403,linkedin_keyword_search,"Co-founder/CEO of independent EB agency in NJ; surfaced via 'Innovative Benefit Planning founder' search"
Mark Sulpizio,Innovative Benefit Planning LLC,https://www.ibpllc.com/about-innovative/,linkedin_keyword_search,"Co-founder of independent EB agency in NJ; surfaced via 'Innovative Benefit Planning founder' search"
Adam Zebian,Independent Health Rosetta certified advisor,https://healthrosetta.org/people/adam-zebian/,linkedin_keyword_search,"Health Rosetta Certified Advisor; surfaced via 'healthrosetta.org advisors' search"
Katy Talento,Independent Health Rosetta certified advisor,https://healthrosetta.org/advisors/katy-talento/,linkedin_keyword_search,"Health Rosetta Certified Advisor; surfaced via 'healthrosetta.org advisors' search"
Chris Van Buren,KMRD Partners,https://kmrdpartners.com/human-capital-solutions/employee-benefits-advisory/health-rosetta/,linkedin_keyword_search,"Health Rosetta Certified Advisor / Benefits Partner at KMRD; surfaced via 'health rosetta certified advisor' search"
John E. Otto,Risk Services - Leavitt Insurance Agencies,https://www.linkedin.com/in/johnottoclu/,linkedin_keyword_search,"Health Rosetta Benefit Advisor at independent insurance agency; surfaced via 'health rosetta advisor founder' search"
Corey Koskie,Health Rosetta Advisor,https://www.linkedin.com/in/corey-koskie-2a4b0024/,linkedin_keyword_search,"Health Rosetta Advisor; surfaced via 'health rosetta advisor founder' search"
Greg Grimm,BenefitsOne Inc.,https://www.linkedin.com/in/greg-grimm-56b99013/,linkedin_keyword_search,"President & CEO of independent EB firm; surfaced via 'independent benefits broker founder self-funded CEO' search"
Jon Johnson,Health Benefit Solutions LLC,https://www.linkedin.com/in/jon-johnson-0303b513/,linkedin_keyword_search,"Owner of independent EB firm; surfaced via 'independent benefits broker founder self-funded CEO' search"
Gary V. Cupo,Benefit Solutions,https://www.linkedin.com/in/gary-v-cupo-clu-chfc-530b942a/,linkedin_keyword_search,"President/CEO of independent EB agency ('Brokers' Broker'); surfaced via 'independent benefits broker founder' search"
Sandra Wood,The Benefits Academy,https://www.linkedin.com/in/sandywood21/,linkedin_keyword_search,"Chief Benefits Consultant/Founder, 30+ yrs in benefits brokerage; surfaced via 'founder benefits consultant transparent fee-only' search"
Cecilia Kidder,ClearBenefits,https://www.linkedin.com/in/ceciliakidder/,linkedin_keyword_search,"Founder/Benefits Consultant; surfaced via 'founder benefits consultant transparent fee-only' search"
Casey Raney,Tru Benefits Consultants,https://www.linkedin.com/in/caseyraney/,linkedin_keyword_search,"Independent benefits consultant; surfaced via 'founder benefits consultant transparent fee-only' search"
Vernon Bonfield,Washington Health Insurance Agency (WHIA),https://washingtonhealthinsuranceagency.com/benefits-advisor-washington-state/,linkedin_keyword_search,"Founder of boutique benefits advisory firm (Tumwater WA), self-funded specialty; surfaced via 'benefits advisor of the year' search"
Matt Ohrt,Free Market Medical Association / self-funded fiduciary health plan author,https://www.linkedin.com/in/matt-ohrt-6a1335b/,linkedin_keyword_search,"Author/advisor on self-funded fiduciary health plan management; surfaced via 'Free Market Medical Association founder' search"
Stephanie Summers,Social Work Health Advocates (FMMA-affiliated),https://fmmaconference.com/,linkedin_keyword_search,"Founder of nonprofit, FMMA Dallas leadership; surfaced via 'Free Market Medical Association founder' search"
Marshall Allen,Allen Health Academy / Marshall Allen Project,https://www.allenhealthacademy.com/cpc-nabipmembers,linkedin_keyword_search,"Founder of Allen Health Academy, fiduciary health plan author; NABIP Subject Matter Expert; surfaced via 'Marshall Allen benefits advisor fiduciary' search"
Donovan Ryckis,Ethos Benefits,https://ethosbenefits.flywheelsites.com/,linkedin_keyword_search,"Co-founder of fee-based fiduciary EB agency, one of first fee-based health insurance advisors in US; surfaced via 'Ethos Benefits founder' search"
Andrea Flynn,Blue Horizon Benefits,https://bluehorizonbenefits.com/benefitspro/,linkedin_keyword_search,"Co-founder of independent EB consulting firm; surfaced via 'Blue Horizon Benefits founder' search"
Chris Morin,Blue Horizon Benefits,https://bluehorizonbenefits.com/benefitspro/,linkedin_keyword_search,"Co-founder of independent EB consulting firm; surfaced via 'Blue Horizon Benefits founder' search"
Brent Watkins,Pancoast Benefits,https://pancoastbenefits.com/staff/brent-watkins-2/,linkedin_keyword_search,"President since 2006 of independent EB consulting firm (Nashville TN); surfaced via 'Pancoast Benefits founder' search"
Doug Aldeen,ERISA attorney/fiduciary advisor,https://www.custombenefits.work/news/2021/07/09/episode-8,linkedin_keyword_search,"ERISA attorney/fiduciary advisor connecting employers/providers; surfaced via 'Doug Aldeen benefits broker founder fiduciary' search"
Nancy Giacolone,Benefits broker (2023 BenefitsPRO Broker of the Year),https://www.benefitspro.com/2023/04/12/2023-broker-of-the-year-meet-the-finalists/,linkedin_keyword_search,"2023 BenefitsPRO Broker of the Year; surfaced via 'BenefitsPro Broker of the Year' search"
George DuMouchel,GLD Advisors LLC,https://www.linkedin.com/in/gldumouchel/,linkedin_keyword_search,"Co-founder/Senior Partner specializing in fiduciary retirement plan advice and employee benefits; surfaced via 'founder employee benefits fiduciary' search"
Brian Reilly,Centric Benefits Consulting,https://www.centricbenefits.com/profile/brian_reilly,linkedin_keyword_search,"Independent benefits consultant at Centric Benefits Consulting; surfaced via 'benefits broker founder fiduciary' search"
Lauren B.,Independent Founder / Benefits Consultant,https://www.linkedin.com/in/lauren-b-4a0b236/,linkedin_keyword_search,"Founder/Benefits Consultant; surfaced via 'founder benefits consultant transparent fee-only' search"
